course_id,course_name,credits,theoretical_credits,practical_credits,stage,optional_11,optional_28,compulsory_for_specific_11,course_group
MTH10461,Bài toán không chỉnh,4,4,0,3,TC,NO,NO,
MTH10465,Phương trình vi tích phân,4,4,0,3,TC,NO,NO,
MTH10469,Rẽ nhánh trong phương trình vi phân,4,4,0,3,TC,NO,NO,
MTH10470,Lý Thuyết ổn định và ứng dụng,4,4,0,3,TC,NO,NO,
MTH10471,Phương trình vi phân đa trị,4,4,0,3,TC,NO,NO,
MTH10473,Phương trình vi phân ngẫu nhiên,4,4,0,3,TC,NO,NO,
MTH10476,Giải tích điều hòa,4,4,0,3,TC,NO,NO,Toán
MTH10478,Topo vi phân,4,4,0,3,TC,NO,NO,
MTH10480,Hình học vi phân,4,4,0,3,TC,NO,NO,
MTH10485,Chuỗi thời gian,4,4,0,3,TC,NO,NO,
MTH10489,Giải số cho bài toán ngược,4,3,1,3,TC,NO,NO,
MTH10490,Toán tử phi biến,4,4,0,3,TC,NO,NO,
MTH10491,Phép tính biến phân,4,4,0,3,TC,NO,NO,
MTH10492,Topo đại số,4,4,0,3,TC,NO,NO,Toán
MTH10494,Lý thuyết hàm phức nhiều biến,4,4,0,3,TC,NO,NO,
MTH10497,Lý thuyết biểu diễn nhóm hữu hạn,4,4,0,3,TC,NO,NO,
MTH10498,Nhập môn lý thuyết số,4,4,0,3,TC,NO,NO,Toán
MTH10499,Lý thuyết trường hữu hạn,4,4,0,3,TC,NO,NO,
MTH10500,Mô-đun và ứng dụng,4,4,0,3,TC,NO,NO,
MTH10501,Seminar đại số,4,4,0,3,TC,NO,NO,
MTH10502,Lý thuyết đồ thị,2,2,0,3,TC,NO,NO,
MTH10503,Đại số máy tính,4,4,0,3,TC,NO,NO,
MTH10504,Lý thuyết đồ thị đại số,4,4,0,3,TC,NO,NO,Toán
MTH10505,Đại số phân bậc,4,4,0,3,TC,NO,NO,
MTH10506,Đại số đồ thị,4,4,0,3,TC,NO,NO,
MTH10507,Lý thuyết tổ hợp,4,4,0,3,TC,NO,NO,
MTH10508,Seminar xác suất thống kê,4,4,0,3,TC,NO,NO,
MTH10509,Các mô hình ngẫu nhiên trong khoa học - đời sống,3,4,0,3,TC,NO,NO,
MTH10510,Thống kê trong sinh học,3,2,1,3,TC,NO,NO,
MTH10511,Mô hình thống kê tuyến tính ,4,3,1,3,TC,NO,NO,XS-TK
